Question Label,Concept UUID,Answer Label,Source Form,Concept Type
Cadre/Designation,1577AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Nurse,adverse-drug-reaction-form.json,Answer Option
Telephone contact,167158AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Telephone contact,adverse-drug-reaction-form.json,Main Question Concept
Date of report,68bfa3f3-1fc7-4d9d-bb41-e897c3c430ef,Date of report,adverse-drug-reaction-form.json,Main Question Concept
Name of Person Submitting to PPB if different from reporter,1526AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Name of Person Submitting to PPB if different from reporter,adverse-drug-reaction-form.json,Main Question Concept
Cadre/Designation,166014AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Cadre/Designation,adverse-drug-reaction-form.json,Main Question Concept
Cadre/Designation,162592AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CO,adverse-drug-reaction-form.json,Answer Option
Cadre/Designation,162591AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,MO,adverse-drug-reaction-form.json,Answer Option
Cadre/Designation,1577AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Nurse,adverse-drug-reaction-form.json,Answer Option
Telephone contact,160642AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Telephone contact,adverse-drug-reaction-form.json,Main Question Concept
Date of submission,162869AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Date of submission,adverse-drug-reaction-form.json,Main Question Concept
Vaccines/Diluent Received,160325AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Vaccines/Diluent Received,aefi-investigation-form.json,Main Question Concept
Type of Site,bfe2a8d6-c457-4e6b-a026-7f35b1903a1b,Type of Site,aefi-investigation-form.json,Main Question Concept
Type of Site,fc236e68-6573-4d48-8c21-3a060b6ed0ae,Fixed,aefi-investigation-form.json,Answer Option
Type of Site,167051AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Mobile,aefi-investigation-form.json,Answer Option
Type of Site,159927AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Outreach,aefi-investigation-form.json,Answer Option
Type of Site,5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Other (specify),aefi-investigation-form.json,Answer Option
Date and time of First/Key Symptom,12183153-f8d3-4513-9931-0ceaf81d3df5,Date and time of First/Key Symptom,aefi-investigation-form.json,Main Question Concept
Date of Hospitalization,1640AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Date of Hospitalization,aefi-investigation-form.json,Main Question Concept
Date First Reported to Health Authority,68bfa3f3-1fc7-4d9d-bb41-e897c3c430ef,Date First Reported to Health Authority,aefi-investigation-form.json,Main Question Concept
Status on Date of Investigation,159640AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Status on Date of Investigation,aefi-investigation-form.json,Main Question Concept
Status on Date of Investigation,160432AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Died,aefi-investigation-form.json,Answer Option
Status on Date of Investigation,91a87033-8f75-4f08-9f15-0d8ae66bd9d9,Disabled,aefi-investigation-form.json,Answer Option
Status on Date of Investigation,159406AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Recovering,aefi-investigation-form.json,Answer Option
Status on Date of Investigation,165870AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Recovered completely,aefi-investigation-form.json,Answer Option
Status on Date of Investigation,1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unknown,aefi-investigation-form.json,Answer Option
Date and time of Death (if applicable),163138AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Date and time of Death (if applicable),aefi-investigation-form.json,Main Question Concept
Autopsy Done?,06f943ab-f813-4832-87b4-d2345b709427,Autopsy Done?,aefi-investigation-form.json,Main Question Concept
Autopsy Done?,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes (date),aefi-investigation-form.json,Answer Option
Autopsy Done?,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,aefi-investigation-form.json,Answer Option
Autopsy Done?,abe7f4d2-6d46-41d3-aef8-91cda434acc6,Planned on (date),aefi-investigation-form.json,Answer Option
Autopsy Time,160715AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Autopsy Time,aefi-investigation-form.json,Main Question Concept
Attach Autopsy Report,9eb0698f-4582-4ac6-b276-bf3b625005f2,Attach Autopsy Report,aefi-investigation-form.json,Main Question Concept
Past history of similar event,1628AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Past history of similar event,aefi-investigation-form.json,Main Question Concept
Past history of similar event,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes,aefi-investigation-form.json,Answer Option
Past history of similar event,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,aefi-investigation-form.json,Answer Option
Past history of similar event,1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unknown,aefi-investigation-form.json,Answer Option
Adverse event after previous vaccination(s),162871AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Adverse event after previous vaccination(s),aefi-investigation-form.json,Main Question Concept
Adverse event after previous vaccination(s),1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes,aefi-investigation-form.json,Answer Option
Adverse event after previous vaccination(s),1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,aefi-investigation-form.json,Answer Option
Adverse event after previous vaccination(s),1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unknown,aefi-investigation-form.json,Answer Option
"History of allergy to vaccine, drug or food",aefi-allergy-history,"History of allergy to vaccine, drug or food",aefi-investigation-form.json,Main Question Concept
"History of allergy to vaccine, drug or food",1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes,aefi-investigation-form.json,Answer Option
"History of allergy to vaccine, drug or food",1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,aefi-investigation-form.json,Answer Option
"History of allergy to vaccine, drug or food",1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unknown,aefi-investigation-form.json,Answer Option
Pre-existing illness (30 days) / congenital disorder,aefi-preexisting-illness,Pre-existing illness (30 days) / congenital disorder,aefi-investigation-form.json,Main Question Concept
Pre-existing illness (30 days) / congenital disorder,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes,aefi-investigation-form.json,Answer Option
Pre-existing illness (30 days) / congenital disorder,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,aefi-investigation-form.json,Answer Option
Pre-existing illness (30 days) / congenital disorder,1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unknown,aefi-investigation-form.json,Answer Option
"History of hospitalization in last 30 days, with cause",163403AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"History of hospitalization in last 30 days, with cause",aefi-investigation-form.json,Main Question Concept
"History of hospitalization in last 30 days, with cause",1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes,aefi-investigation-form.json,Answer Option
"History of hospitalization in last 30 days, with cause",1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,aefi-investigation-form.json,Answer Option
"History of hospitalization in last 30 days, with cause",1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unknown,aefi-investigation-form.json,Answer Option
"Patient currently on concomitant medication? (If yes, name the drug, indication, doses & treatment dates)",162736AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"Patient currently on concomitant medication? (If yes, name the drug, indication, doses & treatment dates)",aefi-investigation-form.json,Main Question Concept
"Patient currently on concomitant medication? (If yes, name the drug, indication, doses & treatment dates)",1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes,aefi-investigation-form.json,Answer Option
"Patient currently on concomitant medication? (If yes, name the drug, indication, doses & treatment dates)",1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,aefi-investigation-form.json,Answer Option
"Patient currently on concomitant medication? (If yes, name the drug, indication, doses & treatment dates)",1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unknown,aefi-investigation-form.json,Answer Option
Drug Name,844bf107-32e6-4d5d-8d40-de8978f79cb3,Drug Name,aefi-investigation-form.json,Main Question Concept
Indication,160632AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Indication,aefi-investigation-form.json,Main Question Concept
Dosage,1443AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Dosage,aefi-investigation-form.json,Main Question Concept
Family history of any disease (relevant to AEFI) or allergy,aefi-family-history,Family history of any disease (relevant to AEFI) or allergy,aefi-investigation-form.json,Main Question Concept
Family history of any disease (relevant to AEFI) or allergy,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes,aefi-investigation-form.json,Answer Option
Family history of any disease (relevant to AEFI) or allergy,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,aefi-investigation-form.json,Answer Option
Family history of any disease (relevant to AEFI) or allergy,1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unknown,aefi-investigation-form.json,Answer Option
Currently pregnant?,5272AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Currently pregnant?,aefi-investigation-form.json,Main Question Concept
Currently pregnant?,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes,aefi-investigation-form.json,Answer Option
Currently pregnant?,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,aefi-investigation-form.json,Answer Option
Currently pregnant?,1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unknown,aefi-investigation-form.json,Answer Option
Currently breastfeeding?,5632AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Currently breastfeeding?,aefi-investigation-form.json,Main Question Concept
Currently breastfeeding?,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes,aefi-investigation-form.json,Answer Option
Currently breastfeeding?,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,aefi-investigation-form.json,Answer Option
"Birth details (for infants): Full-term / Pre-term / Post-term, Birth weight, Current weight",aefi-birth-details,"Birth details (for infants): Full-term / Pre-term / Post-term, Birth weight, Current weight",aefi-investigation-form.json,Main Question Concept
Mode of Delivery:,5630AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Mode of Delivery:,aefi-investigation-form.json,Main Question Concept
Mode of Delivery:,1171AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Cesarean section(CS),aefi-investigation-form.json,Answer Option
Mode of Delivery:,1170AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Spontaneous vaginal delivery(SVD),aefi-investigation-form.json,Answer Option
Mode of Delivery:,1172AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Breech delivery,aefi-investigation-form.json,Answer Option
Mode of Delivery:,118159AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Assisted vaginal delivery(AVD),aefi-investigation-form.json,Answer Option
When was the patient vaccinated? ,0f2ccbe4-d081-4fa2-8c7a-7933831a114c,When was the patient vaccinated? ,aefi-investigation-form.json,Main Question Concept
When was the patient vaccinated? ,166074AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Within the first vaccinations of the session,aefi-investigation-form.json,Answer Option
When was the patient vaccinated? ,86059735-581b-46dc-b421-50563c90c45b,Within the last vaccinations of the session,aefi-investigation-form.json,Answer Option
When was the patient vaccinated? ,1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unknown,aefi-investigation-form.json,Answer Option
"In case of multi-dose vials, was the vaccine given (Multi-dose vial timing)",1d5f70bb-1d37-4f77-9628-09f392ad8a01,"In case of multi-dose vials, was the vaccine given (Multi-dose vial timing)",aefi-investigation-form.json,Main Question Concept
"In case of multi-dose vials, was the vaccine given (Multi-dose vial timing)",1182AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Within the first few doses of the vial administered,aefi-investigation-form.json,Answer Option
"In case of multi-dose vials, was the vaccine given (Multi-dose vial timing)",86059735-581b-46dc-b421-50563c90c45b,Within the last doses of the vial administered,aefi-investigation-form.json,Answer Option
"In case of multi-dose vials, was the vaccine given (Multi-dose vial timing)",1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unknown,aefi-investigation-form.json,Answer Option
Prescribing error or non-adherence,1156AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Prescribing error or non-adherence,aefi-investigation-form.json,Main Question Concept
Prescribing error or non-adherence,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes,aefi-investigation-form.json,Answer Option
Prescribing error or non-adherence,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,aefi-investigation-form.json,Answer Option
Prescribing error or non-adherence,5f28ca8b-026d-4322-827a-5c12015f67a9,Unable to assess,aefi-investigation-form.json,Answer Option
Unsterile vaccine ingredients?,e7eb7a18-b938-49df-bc5a-15a69f83c0b8,Unsterile vaccine ingredients?,aefi-investigation-form.json,Main Question Concept
Unsterile vaccine ingredients?,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes,aefi-investigation-form.json,Answer Option
Unsterile vaccine ingredients?,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,aefi-investigation-form.json,Answer Option
Unsterile vaccine ingredients?,5f28ca8b-026d-4322-827a-5c12015f67a9,Unable to assess,aefi-investigation-form.json,Answer Option
Abnormal vaccine physical condition?,7c45ef89-3f0b-421c-8f92-87301440bbc1,Abnormal vaccine physical condition?,aefi-investigation-form.json,Main Question Concept
Abnormal vaccine physical condition?,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes,aefi-investigation-form.json,Answer Option
Abnormal vaccine physical condition?,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,aefi-investigation-form.json,Answer Option
Abnormal vaccine physical condition?,5f28ca8b-026d-4322-827a-5c12015f67a9,Unable to assess,aefi-investigation-form.json,Answer Option
Error in vaccine reconstitution/preparation?,f39ad42d-7614-473e-b962-31c3f7aeadc6,Error in vaccine reconstitution/preparation?,aefi-investigation-form.json,Main Question Concept
Error in vaccine reconstitution/preparation?,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes,aefi-investigation-form.json,Answer Option
Error in vaccine reconstitution/preparation?,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,aefi-investigation-form.json,Answer Option
Error in vaccine reconstitution/preparation?,5f28ca8b-026d-4322-827a-5c12015f67a9,Unable to assess,aefi-investigation-form.json,Answer Option
Error in vaccine handling?,054eb5b7-89f8-49a8-934f-88c60c8621d3,Error in vaccine handling?,aefi-investigation-form.json,Main Question Concept
Error in vaccine handling?,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes,aefi-investigation-form.json,Answer Option
Error in vaccine handling?,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,aefi-investigation-form.json,Answer Option
Error in vaccine handling?,5f28ca8b-026d-4322-827a-5c12015f67a9,Unable to assess,aefi-investigation-form.json,Answer Option
Incorrect vaccine administration?,65002724-890d-4d23-9c00-84c5f1660303,Incorrect vaccine administration?,aefi-investigation-form.json,Main Question Concept
Incorrect vaccine administration?,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes,aefi-investigation-form.json,Answer Option
Incorrect vaccine administration?,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,aefi-investigation-form.json,Answer Option
Incorrect vaccine administration?,5f28ca8b-026d-4322-827a-5c12015f67a9,Unable to assess,aefi-investigation-form.json,Answer Option
Number immunized from concerned vial,1420AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Number immunized from concerned vial,aefi-investigation-form.json,Main Question Concept
Number immunized in same session,2e1bda71-5cc7-4743-b034-8aed1a180a0f,Number immunized in same session,aefi-investigation-form.json,Main Question Concept
Number immunized with same batch in other locations,a70a6472-9167-4c30-9ded-4d4a0a8921dc,Number immunized with same batch in other locations,aefi-investigation-form.json,Main Question Concept
Is this case part of a cluster?,f27e6e92-210e-4e8d-a889-06ffe8b03050,Is this case part of a cluster?,aefi-investigation-form.json,Main Question Concept
Is this case part of a cluster?,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes,aefi-investigation-form.json,Answer Option
Is this case part of a cluster?,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,aefi-investigation-form.json,Answer Option
Is this case part of a cluster?,1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unknown,aefi-investigation-form.json,Answer Option
How many other cases have been detected in the cluster?,365e155d-4bc4-484a-ae96-0cbf59924912,How many other cases have been detected in the cluster?,aefi-investigation-form.json,Main Question Concept
Did all cluster cases receive vaccine from same vial?,aefi-same-vial-cluster,Did all cluster cases receive vaccine from same vial?,aefi-investigation-form.json,Main Question Concept
Did all cluster cases receive vaccine from same vial?,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes,aefi-investigation-form.json,Answer Option
Did all cluster cases receive vaccine from same vial?,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,aefi-investigation-form.json,Answer Option
Did all cluster cases receive vaccine from same vial?,1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unknown,aefi-investigation-form.json,Answer Option
Number of vials used in cluster,38e8ebfb-a3f1-4964-87ed-4183499400e4,Number of vials used in cluster,aefi-investigation-form.json,Main Question Concept
Are Auto-Disable (AD) syringes used?,86d43826-e076-412d-82fd-f5dd8b221dd7,Are Auto-Disable (AD) syringes used?,aefi-investigation-form.json,Main Question Concept
Are Auto-Disable (AD) syringes used?,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes,aefi-investigation-form.json,Answer Option
Are Auto-Disable (AD) syringes used?,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,aefi-investigation-form.json,Answer Option
Are Auto-Disable (AD) syringes used?,1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unknown,aefi-investigation-form.json,Answer Option
Type of syringes used (if not AD),162169AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Type of syringes used (if not AD),aefi-investigation-form.json,Main Question Concept
Reconstitution procedures and observations done?,13575d90-b7b6-4a65-a8a1-ec35514ded42,Reconstitution procedures and observations done?,aefi-investigation-form.json,Main Question Concept
Reconstitution procedures and observations done?,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes,aefi-investigation-form.json,Answer Option
Reconstitution procedures and observations done?,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,aefi-investigation-form.json,Answer Option
Same reconstitution syringe used for multiple vials of same vaccine?,a5b04339-f707-4075-ad9d-23b67c1a2529,Same reconstitution syringe used for multiple vials of same vaccine?,aefi-investigation-form.json,Main Question Concept
Same reconstitution syringe used for multiple vials of same vaccine?,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes,aefi-investigation-form.json,Answer Option
Same reconstitution syringe used for multiple vials of same vaccine?,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,aefi-investigation-form.json,Answer Option
